Hotel Name,Original price,Price after discount,Tax,Rating,location,Facility,Room Type,Room Size,Review,Original price_norm,Price after discount_norm,Rating_norm,Cluster
18 suite villa loft,13.940675171505434,13.652992804936396,Inclusive of taxes,9.0,"Kuta, Bali","Free Wi-Fi, swimming pool, free parking, spa, front desk [24-hour], restaurant, bar, water park","Bedroom Pool Villa, Deluxe Room, Bedroom Suite",32 m² - 80 m²,Amazing Villa in the heart of Kartika Plaza ,0.41987554323598825,0.41522300041169163,0.8113207545639017,0
aashaya jasri resort,13.880049391601796,13.592367006650065,Inclusive of taxes,8.1,"Amlapura, Bali","Free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour front desk, restaurant, bar, massage","Triple Room, Superior Twin, Triple Superior, Villa with Pool View, Private Villa with Garden View, Deluxe Twin Room, Villa with Ocean View, Double Room with Private Bathroom, Pool View Bungalow, Deluxe Garden View Bungalow",20 m² - 32 m²  ,Love little hotel,0.41105068499266945,0.40649589297821725,0.6415094338412245,3
ab kuta hotel,13.25269139469634,12.518724121530466,Inclusive of taxes,8.7,"Kuta, Bali","Free wifi, Free parking, 24-hour reception, Airport transfer, Luggage storage, Balcony/terrace, Room service, Laundry service","Suite, Double Room, Luxury Suite, Deluxe Room, Premier Room, Deluxe Suite, Luxury Double, Luxury Deluxe Single Room, Deluxe Single Room, Luxury",23 m² - 40 m²  ,Good overall experience,0.31973069868811693,0.25194457871145437,0.7547169809896759,1
abi bali resort villas and spa,15.048887103966797,14.355740214714112,Inclusive of taxes,8.5,"Jimbaran, Bali","Free Wi-Fi, swimming pool with view, free parking, spa, 24-hour reception, fitness center, restaurant, massage","2 Bedroom Villa, Deluxe, 1 Bedroom Villa, Junior Suite, One Bedroom Suite Villa, Two Bedroom Suite Villa, Deluxe Suite with Shared Facilities, Premier Villa (1 Bedroom, Private Pool), Two Bedroom Suite Villa with Private Pool, Deluxe Suite",51 m² - 290 m²  ,The facilities are very clean and nice!,0.5811899745401365,0.5163837655823291,0.7169811319401922,0
abia villa legian,15.015916508624116,14.639696527191012,Inclusive of taxes,9.2,"Legian, Bali","Free Wi-Fi, swimming pool with view, free parking, spa, 24-hour front desk, restaurant, bar, yoga room","One Bedroom Villa, Two Bedroom Villa, One Bedroom Villa with Private Pool Non Smoking, Two Bedroom Pool Villa, Pool Villa 1 Bedroom, Villa 2 Bedrooms Private Pool (Daily Afternoon Tea), Villa 2 Bedrooms Private Pool, Two Bedrooms Family Villa Private Pool",150 m² - 200 m²  ,A must stay place when in Bali!,0.5763906823815952,0.5572593880969419,0.8490566036133854,0
abian harmony hotel & spa,14.083986110412614,13.277659686462034,Inclusive of taxes,8.4,"Sanur, Bali","Swimming pool, free WiFi, spa, restaurant, 24-hour front desk","Deluxe Room, Family Suite, Garden View Room",30 m² - 80 m²,Family friendly hotel with strategic location near the beach,0.440736284699157,0.3611936508467351,0.6981132074154504,3
"abian srama hotel, massage and spa",12.06297564803595,11.775297421715827,Inclusive of taxes,7.5,"Sanur, Bali","Beach, free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, restaurant, bar","Superior Room, Standard Room, Deluxe Room, Standard Room, Standard Twin Room, Economy Room, Deluxe Double Room, Standard Room, Standard Twin Room, Double Room",18 m² - 35 m²  ,Good for the money,0.1465523440210125,0.14492801379046977,0.5283018866927732,1
abyan guest house,12.76378376359014,12.476103599529843,Inclusive of taxes,7.6,"Sanur, Bali","Free Wi-Fi, swimming pool, free parking, bar, massage, airport transfer, shared kitchen, luggage storage","Deluxe Room, Deluxe Room with Pool Access Room Only, Deluxe Room Only, Deluxe Room with Pool Access, Deluxe Room (2 Adults + 1 Child), Deluxe Room with Pool View, Room Assigned on Arrival",16 m² - 25 m²  ,Suitable for an introvert,0.24856393521807588,0.24580933785881456,0.5471698112175151,1
adelia residence,11.703727626233775,11.416051062407123,Inclusive of taxes,8.1,"West Denpasar, Bali","Free Wi-Fi, car parking, 24-hour reception, airport transfer, family room, luggage storage, garden, room service","Standard, Superior",20 m² - 21 m²  ,"Just ordinary, just near the city",0.09425919626050629,0.0932143595147046,0.6415094338412245,4
adhi jaya hotel,14.432856564482117,13.565356741626974,Inclusive of taxes,8.7,"Kuta, Bali","Swimming pool, free Wi-Fi, restaurant, bar","Deluxe, Superior, Premier Pool, Transit Room, Family Pool, Premier Garden View Room",28 m² - 64 m²  ,"Adhi Jaya Hotel is conveniently located in Bali, offering comfortable accommodations with modern amenities",0.4915188446487216,0.40260775473796134,0.7547169809896759,3
adhi jaya suite,13.523875348820274,12.679906430356262,Inclusive of taxes,8.0,"Jatiluwih, Bali","Free WiFi, free parking, 24-hour reception, airport transfer, family room, luggage storage, balcony/terrace, breakfast","Suites Room, Deluxe Room, Deluxe Room Room Only, Room Assigned on Arrival",20 m² - 20 m²  ,Hotel with views of rice fields and hills,0.3592049942239466,0.2751468352632714,0.6226415093164828,1
adi assri beach resort & spa,13.591213842011227,13.380494077586963,Inclusive of taxes,8.4,"Pemuteran, Bali","Private beach, free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, restaurant, bar","Deluxe Garden View, Super Deluxe Sea View, Standard Room, Two Bedroom Villa, Two-Bedroom Villa with Private Pool, Premier, Deluxe Premium Room, Super Deluxe Double Room with Sea View, Two Bedrooms Pool Villa, 2-Bedroom Villa with Private Pool - Smoking",45 m² - 250 m²  ,"The price and quality ratio is very high, overall it is quite quiet and suitable for people who like peace and quiet.",0.3690069738054609,0.3759967017684666,0.6981132074154504,0
adi dharma hotel kuta,13.83531416565213,13.404531777462488,Inclusive of taxes,8.5,"Kuta, Bali","Free Wi-Fi, swimming pool, free parking, spa, 24-hour reception, fitness center, restaurant, bar","Family Room, Superior Room, Deluxe Room, Superior Pool Access, Super Deluxe Room, Superior Double or Twin Room with Pool Access, Superior Single Room, Superior Double or Twin Room with One Time One Hour Balinese Massage for Two People, Special Offer Superior Double or Twin Room with F&B Credit (Per Stay), Tripleior",30 m² - 38 m²  ,The staff is the best,0.40453890026814926,0.3794569380902474,0.7169811319401922,1
adikara renon,12.825481785503277,12.112135522651606,Inclusive of taxes,8.4,"South Denpasar, Bali","Free wifi, free parking, express check-in/check-out, luggage storage, garden, breakfast, room service, laundry service","Superior Room Only, Standard Twin, Superior Triple Room, Standard 1 Double Bed, Superior Room, Standard Room Only Standard Double, Standard Room Only Standard Twin, Standard Room, Standard Double Room",18 m² - 30 m²  ,Convenience and strategic location,0.2575448720100152,0.1934159904876246,0.6981132074154504,4
adiwana dara ayu villas,15.155874063193915,14.945153057730163,Inclusive of taxes,8.6,"Payangan, Bali","Free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour check-in, restaurant, bar, yoga room","Pool View Suite, Terrace Suite, Dara Suite, Luxury One Bedroom Villa, 1 Bedroom Pool Villa, One Bedroom Suite, Grand Deluxe, 2 Bedroom Pool Villa, One Bedroom Duplex Pool Villa, Two Bedrooms Villa",40 m² - 300 m²  ,"Great location, very helpful staff but hotel needs renovation",0.5967632958328888,0.6012299754314191,0.735849056464934,0
adiwana warnakali resort,15.15036187664283,14.774126410098953,Inclusive of taxes,9.1,"Nusa Penida, Bali","Beach, free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, restaurant, bar","Ocean View Suite, Grand Deluxe Ocean View Room, Premier Ocean Suite, Suite, Premier Ocean Suite with Daily Afternoon Tea",56 m² - 70 m²  ,A Memorable Stay with Attentive Hospitality,0.5959609265272671,0.5766106224487952,0.8301886790886436,3
agata villas,16.030552896449024,14.98692153347461,Inclusive of taxes,7.3,"Seminyak, Bali","Free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, restaurant, bar, yoga room","Two Bedroom Villa with Private Pool, Two Bedroom Private Pool Villa with Airport Pick up Transfer, Two Bedroom Private Pool with Afternoon Tea, Two Bedroom Villa, One Bedroom Private Pool Villa, Two Bedroom Pool Villa, 2 Bedroom Pool Villa, Design Villa, 1 Bedroom, Private Pool, Design Villa, 2 Bedrooms, Private Pool, Pool View (2 Double Beds), Deluxe Villa (2 King Beds)",25 m² - 250 m²  ,Beautiful villa,0.7240839954457701,0.6072425638914122,0.4905660376432894,0
agung alit guest house,12.154784614286667,11.86710429621008,Inclusive of taxes,8.7,"Ubud, Bali","Free Wi-Fi, parking, hiking, English, Indonesian","Double Room, Deluxe Twin Room, Twin Bedroom, Deluxe Room, Double Deluxe Room",20 m² - 24 m²  ,Good price,0.15991631416566038,0.1581436493695478,0.7547169809896759,1
agung view villa,13.652992804936396,13.222210522327158,Inclusive of taxes,7.7,"Nusa Penida, Bali","Bamboo Room, Sea Room, Apartment 2, Apartment Kayu, Apartment with Mountain View, Room Wooden, Four-Bedroom Apartment, Apartment 3, APARTMENT Four Bedrooms Apartment, Apartment Four Bedrooms","Superior Room, Deluxe Room",50 m² - 100 m²  ,"Very beautiful location, a little disappointment",0.37799969259770433,0.3532117219290169,0.566037735742257,2
airis luxury villas & spa,14.77102238760702,14.355507141780457,Inclusive of taxes,8.4,"Ungasan, Bali","Free Wi-Fi, swimming pool with a view, free parking, spa, express check-in/check-out, restaurant, golf course, massage","Three Bedroom Villa with Private Pool, Two Bedroom Deluxe Villa, Duplex Two Bedroom Villa with Private Pool, Three Bedroom Villa with Private Pool, One Bedroom Superior Villa, Two Bedroom Deluxe Villa with Private Pool, One Bedroom Villa with Private Pool, Duplex Two Bedrooms Villa, Luxury Villa 1 Bedroom Private Pool, Deluxe Villa 2 Bedrooms Private Pool (1 King Bed and 2 Large Twin Beds)",220 m² - 280 m²  ,Peaceful and relaxing,0.54074320855061,0.5163502146421463,0.6981132074154504,0
akana boutique hotel,14.281486712812017,13.622956830604071,Inclusive of taxes,8.7,"Sanur, Bali","Private beach, free Wi-Fi, swimming pool, free parking, 24-hour reception, restaurant, bar, water sports","Deluxe Pool Access Room, Deluxe Pool View Room, Superior Room, Deluxe Pool Access, Deluxe Pool View, Deluxe Pool Access, Deluxe Double or Twin Room with Pool View, Experience Deluxe Pool Access, Experience Superior Double or Twin Room, Superior Double or Twin Room",28 m² - 35 m²  ,Hotel with complete facilities,0.46948502528303193,0.41089931013005165,0.7547169809896759,1
aksari resort ubud,15.827743483640491,15.39696063953486,Inclusive of taxes,8.9,"Tegallalang, Bali","Free Wi-Fi, swimming pool with view, free parking, spa, 24-hour front desk, fitness center, restaurant, bar,","Grand Suite, Suite Forest View, Suite",75 m² - 250 m²,One of the best resorts,0.6945624895568436,0.6662678539768775,0.7924528300391599,3
al dewi sri villas - nusa penida,13.017005083966255,12.218500103788143,Inclusive of taxes,5.0,"Nusa Penida, Bali","Free Wi-Fi, daily housekeeping service","Deluxe Double or Twin, Double or Twin Room with Balcony, Deluxe Room with Terrace, Double or Twin Room with Balcony (2nd Floor)",30 m² - 38 m²  ,Big spacious room with great bed. Lovely balcony and sea glimpses. Only 50m to the fishing boat and seaweed farm beach (not a swim beach). Onsite pool but not very inviting. Dirty bathroom and no room cleaning in 5 days. Water went off twice and was restored after an hour or so alerting the proprioter. Communication via Whatsapp only. Good restaurants /chill places and plenty small shops within walking distance. Nicely location towards the end of the busy main street,0.28542353949957255,0.20872721364564364,0.05660377357422567,4
alam candi dive resort,13.641158361294979,13.353476685668044,Inclusive of taxes,8.6,"Candidasa, Bali","Beach, free Wi-Fi, swimming pool with a view, free parking, spa, 24-hour reception, restaurant, bar","Standard Room, Ocean Room, Alam Villa, Garden Room, Ocean Room, Villa One Bedroom, Garden Room, Villa, One Bedroom Villa with Garden View, Deluxe Double Room",33 m² - 40 m²  ,Amazing and friendly property experience,0.3762770378509934,0.3721075376087618,0.735849056464934,0
alam kawi ubud resort & spa,13.710151153416941,11.813037464800539,Inclusive of taxes,8.7,"Tampaksiring, Bali","Spa, yoga retreat, swimming pool, free WiFi","Deluxe Room, Villa with Pool",35 m² - 100 m²,Quiet resort with a typical Balinese natural atmosphere,0.3863198218160792,0.15036070778962646,0.7547169809896759,2
